ID da Ordem,Etapa,Código do Status,Modificado por,SLA,Data do Evento,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1874727,Vendedor - Nova Encomenda,1,-,-,2025-08-08 11:42:38,08/08/2025 11:42,08/08/2025 15:03,-,0.14 dias,-,-,-,-
1874727,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 15:03:27,08/08/2025 15:03,08/08/2025 18:11,08/08/2025 15:03,0.13 dias,0.08 dias,Atrasado,188.31,116.53
1874718,Vendedor - Nova Encomenda,1,-,-,2025-08-08 11:37:33,08/08/2025 11:37,08/08/2025 16:22,-,0.2 dias,-,-,-,-
1874659,Vendedor - Nova Encomenda,1,-,-,2025-08-08 11:18:46,08/08/2025 11:18,08/08/2025 16:25,-,0.21 dias,-,-,-,-
1874659,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 16:25:30,08/08/2025 16:25,08/08/2025 22:25,08/08/2025 16:25,0.25 dias,0.02 dias,Atrasado,360.24,34.48
1874622,Vendedor - Nova Encomenda,1,-,-,2025-08-08 10:59:33,08/08/2025 10:59,08/08/2025 16:35,-,0.23 dias,-,-,-,-
1874622,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 16:35:15,08/08/2025 16:35,08/08/2025 17:19,08/08/2025 16:35,0.03 dias,0.02 dias,Atrasado,44.23,24.73
1874605,Vendedor - Nova Encomenda,1,-,-,2025-08-08 10:54:23,08/08/2025 10:54,08/08/2025 16:20,-,0.23 dias,-,-,-,-
1874605,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 16:20:07,08/08/2025 16:20,08/08/2025 17:55,08/08/2025 16:20,0.07 dias,0.03 dias,Atrasado,95.25,39.87
1874596,Vendedor - Nova Encomenda,1,-,-,2025-08-08 10:47:54,08/08/2025 10:47,08/08/2025 12:00,-,0.05 dias,-,-,-,-
1874596,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 12:00:24,08/08/2025 12:00,08/08/2025 17:34,08/08/2025 12:00,0.23 dias,0.21 dias,Atrasado,334.13,299.58
1874577,Vendedor - Nova Encomenda,1,-,-,2025-08-08 10:37:59,08/08/2025 10:37,08/08/2025 11:42,-,0.04 dias,-,-,-,-
1874577,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 11:42:45,08/08/2025 11:42,09/08/2025 13:06,08/08/2025 11:42,1.06 dias,0.43 dias,Atrasado,1523.41,623.4
1874551,Vendedor - Nova Encomenda,1,-,-,2025-08-08 10:29:07,08/08/2025 10:29,08/08/2025 11:58,-,0.06 dias,-,-,-,-
1874551,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 11:58:19,08/08/2025 11:58,08/08/2025 20:23,08/08/2025 11:58,0.35 dias,0.21 dias,Atrasado,504.73,301.67
1874501,Vendedor - Nova Encomenda,1,-,-,2025-08-08 10:16:07,08/08/2025 10:16,08/08/2025 10:27,-,0.01 dias,-,-,-,-
1874501,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 10:27:56,08/08/2025 10:27,08/08/2025 19:24,08/08/2025 10:27,0.37 dias,0.27 dias,Atrasado,536.16,392.05
1874499,Vendedor - Nova Encomenda,1,-,-,2025-08-08 10:15:54,08/08/2025 10:15,08/08/2025 12:01,-,0.07 dias,-,-,-,-
1874499,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 12:01:17,08/08/2025 12:01,08/08/2025 21:30,08/08/2025 12:01,0.39 dias,0.21 dias,Atrasado,568.74,298.7
1874496,Vendedor - Nova Encomenda,1,-,-,2025-08-08 10:15:41,08/08/2025 10:15,08/08/2025 11:57,-,0.07 dias,-,-,-,-
1874496,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 11:57:21,08/08/2025 11:57,08/08/2025 17:14,08/08/2025 11:57,0.22 dias,0.21 dias,Atrasado,317.01,302.63
1874460,Vendedor - Nova Encomenda,1,-,-,2025-08-08 09:56:08,08/08/2025 09:56,08/08/2025 12:07,-,0.09 dias,-,-,-,-
1874460,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 12:07:32,08/08/2025 12:07,08/08/2025 18:13,08/08/2025 12:07,0.25 dias,0.2 dias,Atrasado,366.19,292.45
1874421,Vendedor - Nova Encomenda,1,-,-,2025-08-08 09:22:56,08/08/2025 09:22,08/08/2025 11:35,-,0.09 dias,-,-,-,-
1874421,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 11:35:33,08/08/2025 11:35,08/08/2025 13:00,08/08/2025 11:35,0.06 dias,0.06 dias,Atrasado,85.37,85.37
1874417,Vendedor - Nova Encomenda,1,-,-,2025-08-08 09:21:34,08/08/2025 09:21,08/08/2025 12:04,-,0.11 dias,-,-,-,-
1874417,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 12:04:52,08/08/2025 12:04,08/08/2025 14:37,08/08/2025 12:04,0.11 dias,0.11 dias,Atrasado,152.66,152.65
1874253,Vendedor - Nova Encomenda,1,-,-,2025-08-07 18:45:40,07/08/2025 18:45,08/08/2025 10:26,-,0.65 dias,-,-,-,-
1874253,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 10:26:43,08/08/2025 10:26,08/08/2025 15:01,08/08/2025 10:26,0.19 dias,0.19 dias,Atrasado,274.99,274.98
1874237,Vendedor - Nova Encomenda,1,-,-,2025-08-07 18:26:07,07/08/2025 18:26,08/08/2025 11:39,-,0.72 dias,-,-,-,-
1874237,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 11:39:17,08/08/2025 11:39,08/08/2025 17:24,08/08/2025 11:39,0.24 dias,0.22 dias,Atrasado,344.84,320.7
1874233,Vendedor - Nova Encomenda,1,-,-,2025-08-07 18:24:17,07/08/2025 18:24,08/08/2025 12:08,-,0.74 dias,-,-,-,-
1874233,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 12:08:34,08/08/2025 12:08,08/08/2025 19:03,08/08/2025 12:08,0.29 dias,0.2 dias,Atrasado,414.92,291.42
1874231,Vendedor - Nova Encomenda,1,-,-,2025-08-07 18:21:22,07/08/2025 18:21,08/08/2025 14:08,-,0.82 dias,-,-,-,-
1874228,Vendedor - Nova Encomenda,1,-,-,2025-08-07 18:19:23,07/08/2025 18:19,08/08/2025 15:01,-,0.86 dias,-,-,-,-
1874228,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 15:01:36,08/08/2025 15:01,08/08/2025 15:36,08/08/2025 15:01,0.02 dias,0.02 dias,Atrasado,35.15,35.15
1874228,Entregas Pendente - Retorno para Logística,4,-,-,2025-08-08 15:36:46,08/08/2025 15:36,09/08/2025 12:42,-,0.88 dias,-,-,-,-
1874221,Vendedor - Nova Encomenda,1,-,-,2025-08-07 18:14:09,07/08/2025 18:14,08/08/2025 12:06,-,0.74 dias,-,-,-,-
1874221,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 12:06:16,08/08/2025 12:06,08/08/2025 15:07,08/08/2025 12:06,0.13 dias,0.13 dias,Atrasado,180.77,180.75
1874219,Vendedor - Nova Encomenda,1,-,-,2025-08-07 18:13:02,07/08/2025 18:13,08/08/2025 12:02,-,0.74 dias,-,-,-,-
1874219,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 12:02:31,08/08/2025 12:02,08/08/2025 19:16,08/08/2025 12:02,0.3 dias,0.21 dias,Atrasado,433.91,297.47
1874211,Vendedor - Nova Encomenda,1,-,-,2025-08-07 18:06:16,07/08/2025 18:06,08/08/2025 11:55,-,0.74 dias,-,-,-,-
1874211,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 11:55:17,08/08/2025 11:55,08/08/2025 12:36,08/08/2025 11:55,0.03 dias,0.03 dias,Atrasado,41.55,41.55
1874198,Vendedor - Nova Encomenda,1,-,-,2025-08-07 17:59:00,07/08/2025 17:59,08/08/2025 12:03,-,0.75 dias,-,-,-,-
1874198,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 12:03:56,08/08/2025 12:03,08/08/2025 14:25,08/08/2025 12:03,0.1 dias,0.1 dias,Atrasado,141.15,141.15
1874111,Vendedor - Nova Encomenda,1,-,-,2025-08-07 17:04:36,07/08/2025 17:04,08/08/2025 11:25,-,0.76 dias,-,-,-,-
