ID da Ordem,Etapa,Código do Status,Modificado por,SLA,Data do Evento,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1875621,Vendedor - Nova Encomenda,1,-,-,2025-08-08 21:25:43,08/08/2025 21:25,-,-,-,-,-,-,-
1870389,Vendedor - Nova Encomenda,1,-,-,2025-08-05 18:39:07,05/08/2025 18:39,-,-,-,-,-,-,-
1884417,Vendedor - Nova Encomenda,1,-,-,2025-08-13 21:10:18,13/08/2025 21:10,-,-,-,-,-,-,-
1884328,Vendedor - Nova Encomenda,1,-,-,2025-08-13 18:49:04,13/08/2025 18:49,-,-,-,-,-,-,-
1884306,Vendedor - Nova Encomenda,1,-,-,2025-08-13 18:27:06,13/08/2025 18:27,-,-,-,-,-,-,-
1884282,Vendedor - Nova Encomenda,1,-,-,2025-08-13 18:03:01,13/08/2025 18:03,-,-,-,-,-,-,-
1884250,Vendedor - Nova Encomenda,1,-,-,2025-08-13 17:49:32,13/08/2025 17:49,-,-,-,-,-,-,-
1884243,Vendedor - Nova Encomenda,1,-,-,2025-08-13 17:45:14,13/08/2025 17:45,-,-,-,-,-,-,-
1884232,Vendedor - Nova Encomenda,1,-,-,2025-08-13 17:37:03,13/08/2025 17:37,-,-,-,-,-,-,-
1884226,Vendedor - Nova Encomenda,1,-,-,2025-08-13 17:31:39,13/08/2025 17:31,-,-,-,-,-,-,-
1884186,Vendedor - Nova Encomenda,1,-,-,2025-08-13 17:00:06,13/08/2025 17:00,-,-,-,-,-,-,-
1884136,Vendedor - Nova Encomenda,1,-,-,2025-08-13 16:34:27,13/08/2025 16:34,13/08/2025 19:54,-,0.14 dias,-,-,-,-
1884136,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 19:54:12,13/08/2025 19:54,-,-,-,-,-,-,-
1884059,Vendedor - Nova Encomenda,1,-,-,2025-08-13 15:52:56,13/08/2025 15:52,13/08/2025 16:36,-,0.03 dias,-,-,-,-
1884059,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:36:24,13/08/2025 16:36,13/08/2025 19:55,13/08/2025 16:36,0.14 dias,0.02 dias,Atrasado,199.39,23.58
1884059,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 19:55:48,13/08/2025 19:55,-,-,-,-,-,-,-
1884024,Vendedor - Nova Encomenda,1,-,-,2025-08-13 15:32:47,13/08/2025 15:32,13/08/2025 16:49,-,0.05 dias,-,-,-,-
1884024,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:49:21,13/08/2025 16:49,-,13/08/2025 16:49,-,-,-,-,-
1883981,Vendedor - Nova Encomenda,1,-,-,2025-08-13 15:17:57,13/08/2025 15:17,13/08/2025 16:05,-,0.03 dias,-,-,-,-
1883981,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:05:02,13/08/2025 16:05,13/08/2025 17:03,13/08/2025 16:05,0.04 dias,0.04 dias,Atrasado,58.83,54.95
1883981,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 17:03:52,13/08/2025 17:03,-,-,-,-,-,-,-
1883941,Vendedor - Nova Encomenda,1,-,-,2025-08-13 14:57:10,13/08/2025 14:57,13/08/2025 15:19,-,0.02 dias,-,-,-,-
1883941,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 15:19:15,13/08/2025 15:19,13/08/2025 16:34,13/08/2025 15:19,0.05 dias,0.05 dias,Atrasado,75.22,75.22
1883941,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 16:34:29,13/08/2025 16:34,-,-,-,-,-,-,-
1883925,Vendedor - Nova Encomenda,1,-,-,2025-08-13 14:44:38,13/08/2025 14:44,13/08/2025 16:04,-,0.06 dias,-,-,-,-
1883925,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:04:19,13/08/2025 16:04,13/08/2025 16:48,13/08/2025 16:04,0.03 dias,0.03 dias,Atrasado,44.0,43.98
1883925,Entregas Finalizadas Manaus,6,-,-,2025-08-13 16:48:19,13/08/2025 16:48,-,-,-,-,-,-,-
1883861,Vendedor - Nova Encomenda,1,-,-,2025-08-13 14:27:21,13/08/2025 14:27,-,-,-,-,-,-,-
1883855,Vendedor - Nova Encomenda,1,-,-,2025-08-13 14:24:36,13/08/2025 14:24,13/08/2025 16:03,-,0.07 dias,-,-,-,-
1883855,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:03:39,13/08/2025 16:03,13/08/2025 18:07,13/08/2025 16:03,0.09 dias,0.04 dias,Atrasado,123.62,56.33
1883855,Entregas Finalizadas Manaus,6,-,-,2025-08-13 18:07:16,13/08/2025 18:07,-,-,-,-,-,-,-
1883844,Vendedor - Nova Encomenda,1,-,-,2025-08-13 14:16:38,13/08/2025 14:16,13/08/2025 16:06,-,0.08 dias,-,-,-,-
1883844,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:06:59,13/08/2025 16:06,-,13/08/2025 16:06,-,-,-,-,-
1883836,Vendedor - Nova Encomenda,1,-,-,2025-08-13 14:12:48,13/08/2025 14:12,13/08/2025 16:06,-,0.08 dias,-,-,-,-
1883836,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:06:05,13/08/2025 16:06,-,13/08/2025 16:06,-,-,-,-,-
1883832,Vendedor - Nova Encomenda,1,-,-,2025-08-13 14:11:42,13/08/2025 14:11,13/08/2025 14:42,-,0.02 dias,-,-,-,-
1883832,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 14:42:13,13/08/2025 14:42,-,13/08/2025 14:42,-,-,-,-,-
1883792,Vendedor - Nova Encomenda,1,-,-,2025-08-13 13:49:31,13/08/2025 13:49,13/08/2025 15:59,-,0.09 dias,-,-,-,-
1883792,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 15:59:58,13/08/2025 15:59,-,13/08/2025 15:59,-,-,-,-,-
1883759,Vendedor - Nova Encomenda,1,-,-,2025-08-13 13:28:21,13/08/2025 13:28,13/08/2025 16:25,-,0.12 dias,-,-,-,-
1883759,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:25:22,13/08/2025 16:25,13/08/2025 16:53,13/08/2025 16:25,0.02 dias,0.02 dias,Atrasado,28.53,28.52
1883759,Entregas Finalizadas Manaus,6,-,-,2025-08-13 16:53:54,13/08/2025 16:53,-,-,-,-,-,-,-
1883687,Vendedor - Nova Encomenda,1,-,-,2025-08-13 12:35:27,13/08/2025 12:35,13/08/2025 13:45,-,0.05 dias,-,-,-,-
1883687,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 13:45:43,13/08/2025 13:45,-,13/08/2025 13:45,-,-,-,-,-
1883673,Vendedor - Nova Encomenda,1,-,-,2025-08-13 12:25:18,13/08/2025 12:25,13/08/2025 16:02,-,0.15 dias,-,-,-,-
1883673,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:02:52,13/08/2025 16:02,13/08/2025 17:06,13/08/2025 16:02,0.04 dias,0.04 dias,Atrasado,63.38,57.12
1883673,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 17:06:15,13/08/2025 17:06,-,-,-,-,-,-,-
